Sample.Label,Area,Effort,distance,size,Region.Label,month,OBs
PC16,140000,3,31.6,3,Default,may,WEC
PC16,140000,3,15.6,1,Default,may,WEC
PC09,140000,3,11.2,3,Default,may,ACM
PC09,140000,3,9,2,Default,may,ACM
PC09,140000,3,12.3,3,Default,may,ACM
PC09,140000,3,21.9,3,Default,may,ACM
PC09,140000,3,18.2,1,Default,may,ACM
PC09,140000,3,24.6,5,Default,may,ACM
PC09,140000,3,20.7,1,Default,may,ACM
PC09,140000,3,28.1,3,Default,may,ACM
PC09,140000,3,23.8,1,Default,may,ACM
PC10,140000,3,3.3,6,Default,may,ACM
PC10,140000,3,4.5,3,Default,may,ACM
PC10,140000,3,10.3,3,Default,may,ACM
PC10,140000,3,12.8,4,Default,may,ACM
PC10,140000,3,8.9,4,Default,may,ACM
PC10,140000,3,6.5,2,Default,may,ACM
PC10,140000,3,8.3,1,Default,may,ACM
PC10,140000,3,6.1,5,Default,may,ACM
PC10,140000,3,9.1,3,Default,may,ACM
PC10,140000,3,15.5,1,Default,may,ACM
PC10,140000,3,16.6,2,Default,may,ACM
PC10,140000,3,22.2,2,Default,may,ACM
PC12,140000,3,6.6,11,Default,may,ACM
PC12,140000,3,6.7,12,Default,may,ACM
PC12,140000,3,9.7,1,Default,may,ACM
PC12,140000,3,3.3,1,Default,may,ACM
PC12,140000,3,15,1,Default,may,ACM
PC12,140000,3,35.2,10,Default,may,ACM
PC13,140000,3,9.5,5,Default,may,ACM
PC13,140000,3,9.7,7,Default,may,ACM
PC13,140000,3,8.9,3,Default,may,ACM
PC13,140000,3,6.2,2,Default,may,ACM
PC15,140000,3,15.9,4,Default,may,WEC
PC15,140000,3,0,1,Default,may,WEC
PC15,140000,3,0,2,Default,may,WEC
PC15,140000,3,23.8,6,Default,may,WEC
PC15,140000,3,20.6,6,Default,may,WEC
PC15,140000,3,30.2,1,Default,may,WEC
PC15,140000,3,43.1,7,Default,may,WEC
PC15,140000,3,27.8,3,Default,may,WEC
PC15,140000,3,36.5,4,Default,may,WEC
PC15,140000,3,31.6,1,Default,may,WEC
PC15,140000,3,30.1,1,Default,may,WEC
PC15,140000,3,29.5,5,Default,may,WEC
PC13,140000,3,23.1,3,Default,may,WEC
PC13,140000,3,28.9,1,Default,may,WEC
PC13,140000,3,5,2,Default,may,WEC
PC13,140000,3,12.4,5,Default,may,WEC
PC13,140000,3,9.2,3,Default,may,WEC
PC13,140000,3,9.1,1,Default,may,WEC
PC13,140000,3,13.6,2,Default,may,WEC
PC13,140000,3,8.7,1,Default,may,WEC
PC13,140000,3,42.4,1,Default,may,WEC
PC13,140000,3,34,1,Default,may,WEC
PC13,140000,3,23.3,2,Default,may,WEC
PC13,140000,3,15.9,1,Default,may,WEC
PC13,140000,3,15.6,17,Default,may,WEC
PC13,140000,3,3.8,5,Default,may,WEC
PC13,140000,3,12.4,2,Default,may,WEC
PC13,140000,3,10.8,2,Default,may,WEC
PC10,140000,3,12.6,3,Default,may,WEC
PC10,140000,3,8.1,4,Default,may,WEC
PC10,140000,3,7.9,5,Default,may,WEC
PC10,140000,3,7.9,1,Default,may,WEC
PC10,140000,3,15.1,5,Default,may,WEC
PC10,140000,3,23.4,2,Default,may,WEC
PC10,140000,3,32.2,2,Default,may,WEC
PC10,140000,3,30.3,1,Default,may,WEC
PC10,140000,3,37.8,1,Default,may,WEC
PC10,140000,3,38.1,5,Default,may,WEC
PC10,140000,3,5.5,4,Default,may,WEC
PC10,140000,3,8.8,1,Default,may,WEC
PC10,140000,3,8.7,1,Default,may,WEC
PC10,140000,3,19.6,2,Default,may,WEC
PC10,140000,3,47.2,5,Default,may,WEC
PC09,140000,3,14.1,3,Default,may,WEC
PC09,140000,3,20.4,1,Default,may,WEC
PC09,140000,3,12.8,1,Default,may,WEC
PC09,140000,3,18.7,1,Default,may,WEC
PC09,140000,3,34.9,4,Default,may,WEC
PC09,140000,3,23.6,2,Default,may,WEC
PC09,140000,3,14.7,1,Default,may,WEC
PC09,140000,3,26,4,Default,may,WEC
PC09,140000,3,19.4,1,Default,may,WEC
PC09,140000,3,20.3,1,Default,may,WEC
PC09,140000,3,14.3,1,Default,may,WEC
PC09,140000,3,19.2,8,Default,may,WEC
PC06,140000,3,8.3,1,Default,may,WEC
PC06,140000,3,16.9,26,Default,may,WEC
PC06,140000,3,6.6,5,Default,may,WEC
PC06,140000,3,24.7,1,Default,may,WEC
PC06,140000,3,28.6,1,Default,may,WEC
PC06,140000,3,6.4,4,Default,may,WEC
PC06,140000,3,95.8,1,Default,may,WEC
PC12,140000,3,11.3,1,Default,may,WEC
PC12,140000,3,8.8,7,Default,may,WEC
PC12,140000,3,8.5,5,Default,may,WEC
PC12,140000,3,5.5,4,Default,may,WEC
PC12,140000,3,18.8,3,Default,may,WEC
PC12,140000,3,32.7,3,Default,may,WEC
PC12,140000,3,34.5,12,Default,may,WEC
PC12,140000,3,20.8,2,Default,may,WEC
PC15,140000,3,3.4,2,Default,may,WEC
PC15,140000,3,15.7,5,Default,may,WEC
PC15,140000,3,22.5,2,Default,may,WEC
PC15,140000,3,35.8,7,Default,may,WEC
PC15,140000,3,34.5,7,Default,may,WEC
PC15,140000,3,15.2,5,Default,may,WEC
PC13,140000,3,8.1,2,Default,may,WEC
PC13,140000,3,13.9,1,Default,may,WEC
PC13,140000,3,13.5,5,Default,may,WEC
PC13,140000,3,6.3,2,Default,may,WEC
PC13,140000,3,10.1,3,Default,may,WEC
PC13,140000,3,8,1,Default,may,WEC
PC13,140000,3,10.4,1,Default,may,WEC
PC13,140000,3,17.4,3,Default,may,WEC
PC13,140000,3,27.2,4,Default,may,WEC
PC13,140000,3,45.9,4,Default,may,WEC
PC12,140000,3,3.7,4,Default,may,WEC
PC12,140000,3,5,9,Default,may,WEC
PC12,140000,3,6.6,7,Default,may,WEC
PC12,140000,3,6.7,2,Default,may,WEC
PC12,140000,3,4.6,1,Default,may,WEC
PC12,140000,3,15.8,1,Default,may,WEC
PC12,140000,3,18.4,2,Default,may,WEC
PC10,140000,3,0,7,Default,may,WEC
PC10,140000,3,8.1,6,Default,may,WEC
PC10,140000,3,12.1,4,Default,may,WEC
PC10,140000,3,11.2,3,Default,may,WEC
PC10,140000,3,7.6,3,Default,may,WEC
PC10,140000,3,22.2,5,Default,may,WEC
PC10,140000,3,14.5,2,Default,may,WEC
PC09,140000,3,8.3,1,Default,may,WEC
PC09,140000,3,25.2,2,Default,may,WEC
PC09,140000,3,24.5,3,Default,may,WEC
PC09,140000,3,33.3,1,Default,may,WEC
PC09,140000,3,14.3,2,Default,may,WEC
PC09,140000,3,13.1,5,Default,may,WEC
PC09,140000,3,36.6,1,Default,may,WEC
PC09,140000,3,25.3,3,Default,may,WEC
PC09,140000,3,14.9,2,Default,may,WEC
PC09,140000,3,21.3,1,Default,may,WEC
PC06,140000,3,0,6,Default,may,WEC
PC06,140000,3,6.8,2,Default,may,WEC
PC06,140000,3,9.8,7,Default,may,WEC
PC06,140000,3,19.6,2,Default,may,WEC
PC16,140000,3,5.8,4,Default,may,ACM
PC16,140000,3,16.3,6,Default,may,ACM
PC16,140000,3,0,5,Default,may,ACM
PC16,140000,3,16.5,3,Default,may,ACM
PC16,140000,3,3.7,4,Default,may,ACM
PC16,140000,3,8.3,3,Default,may,ACM
PC16,140000,3,3.6,2,Default,may,ACM
PC16,140000,3,6.2,1,Default,may,ACM
PC16,140000,3,14.5,1,Default,may,ACM
PC16,140000,3,26.9,5,Default,may,ACM
PC14,140000,3,0,5,Default,may,ACM
PC14,140000,3,4.1,19,Default,may,ACM
PC14,140000,3,5.6,5,Default,may,ACM
PC14,140000,3,9.8,11,Default,may,ACM
PC14,140000,3,15.9,6,Default,may,ACM
PC14,140000,3,16.5,3,Default,may,ACM
PC11,140000,3,3.9,1,Default,may,ACM
PC11,140000,3,7.3,6,Default,may,ACM
PC11,140000,3,5.6,2,Default,may,ACM
PC11,140000,3,0,1,Default,may,ACM
PC11,140000,3,10.9,1,Default,may,ACM
PC11,140000,3,8.2,2,Default,may,ACM
PC11,140000,3,14.2,1,Default,may,ACM
PC11,140000,3,14.2,3,Default,may,ACM
PC08,140000,3,11.6,3,Default,may,ACM
PC08,140000,3,18.7,1,Default,may,ACM
PC08,140000,3,10.7,1,Default,may,ACM
PC08,140000,3,10,1,Default,may,ACM
PC08,140000,3,23,5,Default,may,ACM
PC08,140000,3,16.1,2,Default,may,ACM
PC08,140000,3,0,1,Default,may,ACM
PC07,140000,3,10.1,6,Default,may,ACM
PC07,140000,3,14.6,7,Default,may,ACM
PC07,140000,3,7.2,1,Default,may,ACM
PC07,140000,3,30,3,Default,may,ACM
PC03,140000,3,9.9,4,Default,may,ACM
PC16,140000,3,0,3,Default,may,ACM
PC16,140000,3,5.4,1,Default,may,ACM
PC16,140000,3,9.7,5,Default,may,ACM
PC16,140000,3,8,1,Default,may,ACM
PC16,140000,3,9.8,1,Default,may,ACM
PC16,140000,3,10.5,1,Default,may,ACM
PC16,140000,3,13.2,1,Default,may,ACM
PC16,140000,3,9.9,5,Default,may,ACM
PC16,140000,3,19.2,3,Default,may,ACM
PC16,140000,3,11.7,4,Default,may,ACM
PC16,140000,3,10,5,Default,may,ACM
PC16,140000,3,26.7,1,Default,may,ACM
PC16,140000,3,16.6,5,Default,may,ACM
PC14,140000,3,5.9,20,Default,may,ACM
PC14,140000,3,7.2,8,Default,may,ACM
PC14,140000,3,13.1,8,Default,may,ACM
PC14,140000,3,10.9,4,Default,may,ACM
PC14,140000,3,14.6,3,Default,may,ACM
PC14,140000,3,0,6,Default,may,ACM
PC14,140000,3,10.9,34,Default,may,ACM
PC14,140000,3,8.9,6,Default,may,ACM
PC14,140000,3,7,2,Default,may,ACM
PC14,140000,3,16.6,4,Default,may,ACM
PC11,140000,3,5.5,15,Default,may,ACM
PC11,140000,3,12.7,5,Default,may,ACM
PC11,140000,3,8.1,2,Default,may,ACM
PC11,140000,3,0,2,Default,may,ACM
PC11,140000,3,7.7,1,Default,may,ACM
PC11,140000,3,7.6,2,Default,may,ACM
PC11,140000,3,12.1,1,Default,may,ACM
PC11,140000,3,6.7,3,Default,may,ACM
PC08,140000,3,9.5,4,Default,may,ACM
PC08,140000,3,10.4,2,Default,may,ACM
PC08,140000,3,17.3,2,Default,may,ACM
PC08,140000,3,18.5,1,Default,may,ACM
PC08,140000,3,23,1,Default,may,ACM
PC08,140000,3,14.1,1,Default,may,ACM
PC08,140000,3,23.2,3,Default,may,ACM
PC08,140000,3,24.2,12,Default,may,ACM
PC08,140000,3,22,1,Default,may,ACM
PC08,140000,3,12.6,1,Default,may,ACM
PC08,140000,3,6.8,1,Default,may,ACM
PC08,140000,3,11.5,1,Default,may,ACM
PC07,140000,3,10.2,7,Default,may,ACM
PC07,140000,3,11.9,3,Default,may,ACM
PC07,140000,3,9.5,2,Default,may,ACM
PC07,140000,3,25.5,4,Default,may,ACM
PC03,140000,3,13.1,1,Default,may,ACM
PC15,140000,3,3.4,3,Default,may,ACM
PC15,140000,3,23.2,7,Default,may,ACM
PC15,140000,3,18.6,9,Default,may,ACM
PC15,140000,3,45.4,8,Default,may,ACM
PC15,140000,3,35.9,2,Default,may,ACM
PC15,140000,3,29.7,3,Default,may,ACM
PC15,140000,3,44.2,13,Default,may,ACM
PC15,140000,3,33.9,1,Default,may,ACM
PC15,140000,3,21.4,2,Default,may,ACM
PC15,140000,3,13.4,2,Default,may,ACM
